Patient: SolidWater  Test, SW_Farmer 
Plan: 10x10 Open DQA
All distances / positions in [mm]
Intensity values: Absolute dose in [Gy]
Distance	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
X (iec-left)	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Z (iec-up)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
Y (iec-head)	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
100.0	0.0222	0.0251	0.0300	0.0342	0.0382	0.0417	0.0436	0.0473		0.0528		0.0543	0.0550		0.0524		0.0465	0.0433	0.0408	0.0376	0.0333	0.0293	0.0253	0.0215	*	0.0445	0.0429	0.0458	0.0473	0.0485	0.0505	0.0529	0.0540		0.0532		0.0537		0.0543		0.0543		0.0556		0.0542	0.0529	0.0522	0.0494	0.0485	0.0470	0.0438	0.0422	
90.0	0.0259	0.0306	0.0353	0.0407	0.0459	0.0518	0.0558	0.0602		0.0659		0.0685	0.0686		0.0655		0.0586	0.0550	0.0512	0.0453	0.0398	0.0338	0.0294	0.0252	*	0.0559	0.0535	0.0569	0.0595	0.0622	0.0642	0.0664	0.0679		0.0676		0.0685		0.0686		0.0691		0.0682		0.0683	0.0665	0.0654	0.0630	0.0607	0.0583	0.0546	0.0532	
80.0	0.0298	0.0360	0.0437	0.0502	0.0586	0.0659	0.0722	0.0782		0.0850		0.0883	0.0877		0.0843		0.0776	0.0702	0.0650	0.0576	0.0495	0.0418	0.0350	0.0297	*	0.0722	0.0690	0.0736	0.0770	0.0805	0.0833	0.0864	0.0891		0.0885		0.0894		0.0899		0.0895		0.0905		0.0896	0.0866	0.0846	0.0807	0.0784	0.0758	0.0707	0.0688	
70.0	0.0354	0.0429	0.0521	0.0628	0.0743	0.0865	0.0968	0.1067		0.1155		0.1196	0.1169		0.1136		0.1046	0.0937	0.0841	0.0730	0.0609	0.0509	0.0424	0.0345	*	0.0967	0.0926	0.0981	0.1033	0.1084	0.1141	0.1167	0.1197		0.1209		0.1216		0.1228		0.1224		0.1226		0.1197	0.1175	0.1131	0.1087	0.1044	0.0995	0.0942	0.0940	
60.0	0.0411	0.0508	0.0634	0.0768	0.0973	0.1226	0.1460	0.1612		0.1718		0.1761	0.1731		0.1692		0.1545	0.1381	0.1174	0.0938	0.0751	0.0614	0.0496	0.0402	*	0.1471	0.1450	0.1519	0.1580	0.1652	0.1724	0.1766	0.1805		0.1817		0.1806		0.1818		0.1809		0.0009		0.1799	0.1770	0.1729	0.1662	0.1607	0.1546	0.1483	0.1539	
50.0	0.0474	0.0608	0.0754	0.0961	0.1342	0.4977	0.7858	0.8038		0.7924		0.7709	0.6987		0.6845		0.6617	0.6148	0.4085	0.1275	0.0923	0.0732	0.0583	0.0461	*	0.5471	0.6018	0.6475	0.6879	0.7263	0.7564	0.7819	0.7882		0.7501		0.7291		0.7723		0.7835		0.7989		0.7692	0.7457	0.7100	0.6628	0.6308	0.5934	0.5498	0.5398	
40.0	0.0532	0.0692	0.0881	0.1147	0.1740	0.9511	1.5115	1.5392		1.5484		1.5535	1.5405		1.5306		1.5315	1.4931	0.8065	0.1640	0.1113	0.0853	0.0665	0.0525	*	1.7293	1.7843	1.7481	1.7191	1.6999	1.6601	1.6399	1.6154		1.6109		1.5921		1.5837		1.5954		1.5969		1.6017	1.6017	1.6192	1.6491	1.6687	1.6951	1.7294	1.7375	
30.0	0.0579	0.0747	0.0974	0.1281	0.1935	0.9815	1.5595	1.5913	1.5991	1.6019	1.6048	1.6117	1.6063	1.6023	1.5995	1.5997	1.5902	1.5386	0.8537	0.1837	0.1238	0.0939	0.0731	0.0565	*	1.7744	1.8399	1.8029	1.7823	1.7622	1.7262	1.7107	1.6886	1.6753	1.6775	1.6562	1.6510	1.6562	1.6497	1.6618	1.6498	1.6433	1.6663	1.6573	1.6720	1.7026	1.7077	1.7539	1.7806	1.8005	1.8238	1.8662	
25.0								1.6052	1.6173	1.6130	1.6369	1.6266	1.6190	1.6168	1.6162	1.6038	1.6105								*								1.6729	1.6471	1.6546	1.6393	1.6337	1.6352	1.6362	1.6341	1.6370	1.6315	1.6661	1.6566	1.6661								
20.0	0.0606	0.0794	0.1025	0.1362	0.2060	1.0309	1.5790	1.6206	1.6299	1.6261	1.6306	1.6354	1.6297	1.6215	1.6246	1.6198	1.6132	1.5747	0.8606	0.1949	0.1312	0.1001	0.0771	0.0596	*	1.7607	1.8490	1.8073	1.7759	1.7682	1.7310	1.7114	1.6918	1.6681	1.6727	1.6446	1.6548	1.6591	1.6499	1.6603	1.6512	1.6443	1.6713	1.6798	1.6954	1.7121	1.7262	1.7661	1.7881	1.8152	1.8437	1.8903	
15.0								1.6241	1.6340	1.6410	1.6395	1.6471	1.6322	1.6356	1.6322	1.6329	1.6194								*								1.6980	1.6856	1.6645	1.6564	1.6445	1.6464	1.6479	1.6416	1.6506	1.6452	1.6619	1.6723	1.6817								
10.0	0.0633	0.0814	0.1071	0.1420	0.2141	1.0417	1.5995	1.6316	1.6366	1.6437	1.6405	1.6485	1.6409	1.6405	1.6394	1.6372	1.6293	1.5887	0.8707	0.2023	0.1372	0.1030	0.0792	0.0620	*	1.8019	1.8923	1.8279	1.7940	1.7831	1.7453	1.7146	1.6843	1.6772	1.6600	1.6504	1.6526	1.6497	1.6520	1.6581	1.6452	1.6570	1.6730	1.6843	1.6940	1.7290	1.7483	1.7712	1.8076	1.8162	1.8718	1.9186	
5.0								1.6353	1.6436	1.6505	1.6461	1.6476	1.6421	1.6422	1.6433	1.6400	1.6329								*								1.6957	1.6704	1.6719	1.6478	1.6594	1.6452	1.6564	1.6505	1.6537	1.6487	1.6630	1.6775	1.6730								
0.0	0.0648	0.0823	0.1075	0.1439	0.2163	1.0480	1.6134	1.6321	1.6440	1.6503	1.6514	1.6522	1.6498	1.6443	1.6452	1.6428	1.6366	1.5981	0.8515	0.2037	0.1397	0.1046	0.0801	0.0624	*	1.7983	1.8770	1.8266	1.7955	1.7885	1.7531	1.7275	1.7065	1.6823	1.6869	1.6660	1.6728	1.6729	1.6734	1.6775	1.6653	1.6642	1.6733	1.6866	1.7053	1.7269	1.7449	1.7755	1.7946	1.8197	1.8552	1.8945	
-5.0								1.6428	1.6412	1.6485	1.6552	1.6573	1.6536	1.6539	1.6420	1.6376	1.6344								*								1.6945	1.6943	1.6855	1.6456	1.6596	1.6627	1.6586	1.6636	1.6607	1.6643	1.6736	1.6799	1.7018								
-10.0	0.0640	0.0827	0.1076	0.1427	0.2163	1.0491	1.6130	1.6450	1.6479	1.6436	1.6532	1.6526	1.6545	1.6515	1.6460	1.6463	1.6317	1.6017	0.8506	0.2013	0.1373	0.1039	0.0797	0.0626	*	1.8168	1.8887	1.8554	1.8329	1.8073	1.7736	1.7410	1.7229	1.7022	1.7164	1.6718	1.6766	1.6822	1.6879	1.6670	1.6730	1.6667	1.6776	1.6985	1.6992	1.7298	1.7466	1.7644	1.7914	1.8139	1.8425	1.8790	
-15.0								1.6377	1.6497	1.6542	1.6537	1.6521	1.6493	1.6514	1.6517	1.6450	1.6377								*								1.6969	1.6999	1.6874	1.6736	1.6623	1.6619	1.6652	1.6752	1.6747	1.6664	1.6723	1.6888	1.6895								
-20.0	0.0627	0.0804	0.1047	0.1399	0.2133	1.0682	1.6015	1.6363	1.6445	1.6473	1.6453	1.6561	1.6451	1.6392	1.6582	1.6528	1.6353	1.5916	0.8626	0.1995	0.1350	0.1007	0.0779	0.0611	*	1.7944	1.8669	1.8435	1.8177	1.7927	1.7647	1.7284	1.7114	1.6952	1.6850	1.6673	1.6776	1.6790	1.6737	1.6868	1.6873	1.6860	1.6999	1.6925	1.7138	1.7403	1.7587	1.7741	1.7823	1.8276	1.8491	1.9018	
-25.0								1.6295	1.6334	1.6459	1.6461	1.6398	1.6431	1.6326	1.6371	1.6295	1.6133								*								1.6953	1.6845	1.6700	1.6525	1.6523	1.6734	1.6754	1.6647	1.6689	1.6636	1.6872	1.6787	1.6973								
-30.0	0.0599	0.0767	0.1000	0.1329	0.2019	1.0627	1.5892	1.6201	1.6274	1.6314	1.6339	1.6384	1.6273	1.6305	1.6261	1.6160	1.6134	1.5698	0.8297	0.1884	0.1280	0.0958	0.0751	0.0586	*	1.7766	1.8651	1.8258	1.7860	1.7628	1.7415	1.7134	1.6925	1.6802	1.6700	1.6632	1.6473	1.6525	1.6538	1.6537	1.6612	1.6501	1.6740	1.6836	1.6965	1.7140	1.7228	1.7719	1.7932	1.8328	1.8702	1.8873	
-40.0	0.0570	0.0723	0.0918	0.1210	0.1829	1.0452	1.5448	1.5651		1.5831		1.5911	1.5876		1.5750		1.5617	1.5291	0.7995	0.1703	0.1159	0.0898	0.0693	0.0544	*	1.7314	1.7805	1.7595	1.7213	1.7108	1.6784	1.6608	1.6446		1.6267		1.6024		1.6019		1.6200		1.6358		1.6417	1.6619	1.6900	1.7127	1.7373	1.7737	1.8106	1.8280	
