Patient: SolidWater  Test, SW_Farmer 
Plan: 10x10 Open DQA
Beam: 4
All distances / positions in [mm]
Intensity values: Absolute dose in [Gy]
Distance	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
X (iec-left)	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Z (iec-up)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
Y (iec-head)	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
100.0	0.0114	0.0130	0.0146	0.0169	0.0187	0.0204	0.0219	0.0238		0.0255		0.0265	0.0258		0.0245		0.0224	0.0213	0.0194	0.0179	0.0160	0.0142	0.0121	0.0103	*	0.0225	0.0238	0.0249	0.0256	0.0263	0.0267	0.0274	0.0275		0.0271		0.0270		0.0268		0.0267		0.0267		0.0255	0.0252	0.0240	0.0225	0.0220	0.0210	0.0187	0.0187	
90.0	0.0126	0.0152	0.0176	0.0206	0.0229	0.0254	0.0283	0.0299		0.0320		0.0333	0.0325		0.0308		0.0283	0.0266	0.0247	0.0222	0.0198	0.0168	0.0144	0.0123	*	0.0286	0.0302	0.0317	0.0326	0.0336	0.0341	0.0343	0.0343		0.0343		0.0336		0.0338		0.0332		0.0328		0.0323	0.0311	0.0298	0.0283	0.0268	0.0253	0.0238	0.0234	
80.0	0.0148	0.0178	0.0218	0.0249	0.0290	0.0322	0.0357	0.0387		0.0415		0.0435	0.0415		0.0397		0.0371	0.0339	0.0308	0.0274	0.0239	0.0203	0.0170	0.0147	*	0.0369	0.0393	0.0411	0.0423	0.0431	0.0444	0.0445	0.0451		0.0446		0.0445		0.0442		0.0433		0.0431		0.0421	0.0400	0.0386	0.0361	0.0347	0.0321	0.0298	0.0302	
70.0	0.0174	0.0215	0.0262	0.0313	0.0366	0.0424	0.0476	0.0529		0.0566		0.0582	0.0563		0.0533		0.0505	0.0451	0.0404	0.0346	0.0291	0.0248	0.0205	0.0167	*	0.0496	0.0519	0.0543	0.0562	0.0580	0.0595	0.0597	0.0607		0.0604		0.0599		0.0594		0.0590		0.0584		0.0568	0.0545	0.0521	0.0489	0.0460	0.0430	0.0399	0.0418	
60.0	0.0204	0.0253	0.0316	0.0381	0.0480	0.0601	0.0705	0.0777		0.0825		0.0846	0.0812		0.0791		0.0727	0.0655	0.0559	0.0447	0.0363	0.0294	0.0242	0.0199	*	0.0818	0.0853	0.0862	0.0873	0.0880	0.0889	0.0888	0.0897		0.0887		0.0875		0.0869		0.0858		0.0008		0.0831	0.0801	0.0761	0.0708	0.0663	0.0614	0.0565	0.0644	
50.0	0.0240	0.0301	0.0378	0.0477	0.0661	0.1953	0.2628	0.2763		0.2825		0.2797	0.2597		0.2584		0.2532	0.2389	0.1502	0.0598	0.0444	0.0356	0.0280	0.0227	*	0.3909	0.4120	0.4303	0.4463	0.4576	0.4622	0.4541	0.4303		0.3705		0.3093		0.2833		0.2587		0.2441		0.2223	0.2086	0.1930	0.1641	0.1498	0.1353	0.1198	0.1279	
40.0	0.0268	0.0345	0.0444	0.0577	0.0895	0.5266	0.7425	0.7569		0.7610		0.7614	0.7589		0.7517		0.7527	0.7346	0.3486	0.0766	0.0537	0.0411	0.0323	0.0259	*	0.4275	0.4554	0.4873	0.5184	0.5505	0.5821	0.6133	0.6493		0.6949		0.7326		0.7789		0.8252		0.8770		0.9209	0.9657	1.0238	1.0814	1.1317	1.1909	1.2566	1.2868	
30.0	0.0293	0.0376	0.0488	0.0646	0.0996	0.5357	0.7702	0.7846	0.7870	0.7899	0.7907	0.7928	0.7937	0.7896	0.7869	0.7887	0.7844	0.7579	0.3662	0.0869	0.0594	0.0455	0.0355	0.0279	*	0.4418	0.4720	0.5081	0.5382	0.5751	0.6140	0.6519	0.6823	0.7054	0.7284	0.7384	0.7671	0.7867	0.8081	0.8359	0.8476	0.8708	0.9006	0.9223	0.9544	1.0190	1.0750	1.1493	1.2179	1.2761	1.3301	1.4036	
25.0								0.7919	0.7968	0.7958	0.8062	0.7994	0.7990	0.7972	0.7976	0.7903	0.7946								*								0.6836	0.7011	0.7211	0.7363	0.7657	0.7894	0.8151	0.8324	0.8523	0.8719	0.9130	0.9293	0.9640								
20.0	0.0310	0.0400	0.0517	0.0687	0.1060	0.5561	0.7815	0.7981	0.8044	0.8022	0.8034	0.8051	0.8045	0.8004	0.8013	0.8004	0.7958	0.7778	0.3682	0.0924	0.0640	0.0488	0.0377	0.0292	*	0.4365	0.4674	0.5026	0.5387	0.5711	0.6110	0.6471	0.6904	0.7099	0.7300	0.7386	0.7699	0.7839	0.8042	0.8338	0.8514	0.8640	0.8993	0.9230	0.9643	1.0207	1.0831	1.1525	1.2144	1.2808	1.3440	1.4189	
15.0								0.8011	0.8054	0.8098	0.8084	0.8113	0.8080	0.8071	0.8062	0.8071	0.8003								*								0.6986	0.7145	0.7304	0.7431	0.7681	0.7938	0.8117	0.8298	0.8613	0.8832	0.9161	0.9410	0.9718								
10.0	0.0321	0.0410	0.0540	0.0714	0.1104	0.5606	0.7897	0.8051	0.8076	0.8110	0.8097	0.8130	0.8108	0.8102	0.8090	0.8080	0.8044	0.7847	0.3924	0.0973	0.0670	0.0502	0.0389	0.0307	*	0.4505	0.4945	0.5253	0.5616	0.6007	0.6284	0.6612	0.6884	0.7111	0.7267	0.7447	0.7734	0.7977	0.8225	0.8483	0.8587	0.8873	0.9163	0.9487	0.9770	1.0430	1.1032	1.1603	1.2332	1.2761	1.3588	1.4269	
5.0								0.8065	0.8109	0.8128	0.8115	0.8129	0.8115	0.8100	0.8108	0.8103	0.8073								*								0.6946	0.7076	0.7316	0.7390	0.7684	0.7944	0.8154	0.8363	0.8585	0.8831	0.9099	0.9379	0.9670								
0.0	0.0327	0.0412	0.0548	0.0732	0.1115	0.5569	0.7980	0.8069	0.8112	0.8143	0.8157	0.8149	0.8150	0.8126	0.8133	0.8108	0.8072	0.7893	0.3888	0.0979	0.0680	0.0508	0.0394	0.0305	*	0.4581	0.4861	0.5168	0.5540	0.5960	0.6224	0.6587	0.6893	0.7073	0.7326	0.7461	0.7800	0.7951	0.8201	0.8428	0.8616	0.8846	0.9139	0.9442	0.9829	1.0443	1.1002	1.1577	1.2154	1.2801	1.3491	1.4145	
-5.0								0.8121	0.8102	0.8162	0.8178	0.8170	0.8194	0.8180	0.8118	0.8084	0.8078								*								0.6911	0.7174	0.7338	0.7389	0.7745	0.7972	0.8193	0.8421	0.8664	0.9007	0.9176	0.9506	0.9843								
-10.0	0.0324	0.0420	0.0548	0.0722	0.1110	0.5558	0.7945	0.8111	0.8121	0.8120	0.8168	0.8167	0.8197	0.8167	0.8131	0.8138	0.8074	0.7914	0.3941	0.0970	0.0677	0.0508	0.0394	0.0307	*	0.4780	0.5076	0.5392	0.5737	0.6087	0.6441	0.6764	0.7168	0.7348	0.7615	0.7616	0.7901	0.8143	0.8434	0.8537	0.8773	0.8957	0.9240	0.9650	0.9876	1.0415	1.1080	1.1525	1.2241	1.2844	1.3482	1.4115	
-15.0								0.8081	0.8157	0.8181	0.8182	0.8162	0.8167	0.8154	0.8158	0.8113	0.8090								*								0.6938	0.7204	0.7418	0.7559	0.7756	0.7970	0.8182	0.8497	0.8746	0.8894	0.9150	0.9496	0.9774								
-20.0	0.0315	0.0406	0.0533	0.0706	0.1084	0.5524	0.7911	0.8086	0.8136	0.8142	0.8144	0.8194	0.8151	0.8083	0.8115	0.8085	0.8076	0.7856	0.3897	0.0971	0.0664	0.0498	0.0384	0.0302	*	0.4495	0.4806	0.5210	0.5558	0.5968	0.6317	0.6660	0.6980	0.7190	0.7422	0.7551	0.7848	0.8054	0.8294	0.8646	0.8869	0.9174	0.9376	0.9612	0.9968	1.0637	1.1218	1.1727	1.2242	1.3082	1.3550	1.4351	
-25.0								0.8065	0.8070	0.8126	0.8132	0.8090	0.8143	0.8069	0.8089	0.8063	0.7966								*								0.6886	0.7083	0.7309	0.7417	0.7673	0.7991	0.8275	0.8451	0.8676	0.8887	0.9249	0.9432	0.9801								
-30.0	0.0306	0.0389	0.0509	0.0673	0.1035	0.5452	0.7834	0.8010	0.8051	0.8071	0.8068	0.8095	0.8057	0.8068	0.8045	0.7987	0.7980	0.7763	0.3917	0.0918	0.0632	0.0476	0.0372	0.0292	*	0.4446	0.4722	0.5077	0.5386	0.5788	0.6169	0.6557	0.6939	0.7201	0.7344	0.7443	0.7714	0.7944	0.8142	0.8429	0.8650	0.8899	0.9200	0.9462	0.9897	1.0472	1.0972	1.1801	1.2404	1.3069	1.3719	1.4182	
-40.0	0.0287	0.0365	0.0463	0.0612	0.0934	0.5263	0.7649	0.7760		0.7837		0.7874	0.7868		0.7803		0.7737	0.7567	0.3864	0.0838	0.0572	0.0443	0.0350	0.0273	*	0.4280	0.4626	0.4931	0.5259	0.5587	0.5939	0.6308	0.6688		0.7155		0.7451		0.7897		0.8486		0.8943		0.9489	1.0141	1.0854	1.1330	1.1986	1.2616	1.3293	1.3736	
