Patient: SolidWater  Test, SW_Farmer 
Plan: 10x10 Open DQA
Beam: 3
All distances / positions in [mm]
Intensity values: Absolute dose in [Gy]
Distance	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
X (iec-left)	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Z (iec-up)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
Y (iec-head)	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
100.0	0.0109	0.0126	0.0145	0.0169	0.0186	0.0204	0.0215	0.0232		0.0251		0.0265	0.0268		0.0257		0.0232	0.0216	0.0207	0.0182	0.0167	0.0146	0.0122	0.0105	*	0.0222	0.0189	0.0203	0.0214	0.0223	0.0236	0.0250	0.0253		0.0261		0.0271		0.0271		0.0275		0.0279		0.0282	0.0279	0.0274	0.0270	0.0265	0.0257	0.0243	0.0233	
90.0	0.0128	0.0148	0.0175	0.0200	0.0229	0.0255	0.0279	0.0298		0.0320		0.0339	0.0340		0.0326		0.0298	0.0280	0.0251	0.0227	0.0199	0.0170	0.0145	0.0123	*	0.0279	0.0231	0.0247	0.0266	0.0282	0.0294	0.0311	0.0324		0.0334		0.0347		0.0348		0.0356		0.0354		0.0358	0.0358	0.0355	0.0343	0.0338	0.0329	0.0312	0.0303	
80.0	0.0147	0.0177	0.0215	0.0247	0.0291	0.0324	0.0360	0.0390		0.0417		0.0436	0.0437		0.0425		0.0392	0.0359	0.0326	0.0285	0.0246	0.0211	0.0172	0.0146	*	0.0356	0.0298	0.0317	0.0343	0.0369	0.0391	0.0408	0.0428		0.0439		0.0452		0.0460		0.0463		0.0470		0.0470	0.0469	0.0464	0.0451	0.0443	0.0430	0.0413	0.0391	
70.0	0.0175	0.0208	0.0258	0.0313	0.0367	0.0432	0.0489	0.0536		0.0580		0.0597	0.0606		0.0579		0.0533	0.0479	0.0430	0.0367	0.0305	0.0254	0.0209	0.0173	*	0.0471	0.0404	0.0435	0.0472	0.0505	0.0544	0.0566	0.0593		0.0608		0.0621		0.0628		0.0633		0.0633		0.0634	0.0632	0.0622	0.0604	0.0590	0.0573	0.0552	0.0531	
60.0	0.0202	0.0251	0.0313	0.0381	0.0486	0.0631	0.0767	0.0841		0.0883		0.0909	0.0912		0.0885		0.0815	0.0730	0.0617	0.0474	0.0381	0.0307	0.0243	0.0201	*	0.0656	0.0600	0.0656	0.0723	0.0781	0.0837	0.0876	0.0908		0.0933		0.0947		0.0959		0.0964		0.0003		0.0986	0.0988	0.0982	0.0970	0.0962	0.0950	0.0940	0.0928	
50.0	0.0237	0.0297	0.0374	0.0477	0.0675	0.3214	0.5542	0.5597		0.5428		0.5269	0.4715		0.4549		0.4365	0.4020	0.2745	0.0668	0.0473	0.0366	0.0293	0.0233	*	0.1643	0.2005	0.2290	0.2560	0.2872	0.3144	0.3519	0.3890		0.4189		0.4626		0.5295		0.5561		0.5756		0.5627	0.5465	0.5226	0.5029	0.4845	0.4585	0.4319	0.4124	
40.0	0.0259	0.0338	0.0429	0.0564	0.0833	0.4139	0.7558	0.7694		0.7725		0.7781	0.7708		0.7660		0.7646	0.7455	0.4526	0.0851	0.0563	0.0428	0.0335	0.0264	*	1.2994	1.3272	1.2579	1.2002	1.1483	1.0770	1.0232	0.9602		0.9133		0.8589		0.8045		0.7688		0.7207		0.6807	0.6347	0.5951	0.5660	0.5358	0.5014	0.4720	0.4497	
30.0	0.0285	0.0363	0.0472	0.0625	0.0929	0.4527	0.7768	0.7918	0.7968	0.7973	0.7998	0.8035	0.7999	0.7984	0.7958	0.7962	0.7933	0.7668	0.4643	0.0933	0.0623	0.0467	0.0362	0.0283	*	1.3258	1.3628	1.2914	1.2403	1.1824	1.1099	1.0557	1.0003	0.9654	0.9450	0.9158	0.8800	0.8666	0.8431	0.8242	0.7999	0.7712	0.7640	0.7351	0.7152	0.6806	0.6313	0.6033	0.5612	0.5236	0.4916	0.4604	
25.0								0.8008	0.8055	0.8024	0.8137	0.8122	0.8035	0.8043	0.8008	0.7978	0.8016								*								0.9847	0.9428	0.9282	0.8981	0.8647	0.8451	0.8207	0.7993	0.7820	0.7589	0.7516	0.7282	0.7040								
20.0	0.0297	0.0383	0.0498	0.0659	0.0982	0.4715	0.7849	0.8071	0.8128	0.8105	0.8109	0.8156	0.8093	0.8059	0.8081	0.8050	0.8022	0.7835	0.4573	0.0986	0.0657	0.0495	0.0383	0.0298	*	1.3184	1.3750	1.3003	1.2330	1.1939	1.1187	1.0618	0.9972	0.9555	0.9395	0.9020	0.8828	0.8743	0.8441	0.8246	0.7982	0.7774	0.7707	0.7549	0.7311	0.6918	0.6428	0.6113	0.5719	0.5314	0.4968	0.4693	
15.0								0.8082	0.8133	0.8161	0.8156	0.8212	0.8114	0.8129	0.8107	0.8101	0.8060								*								0.9946	0.9660	0.9288	0.9095	0.8729	0.8510	0.8339	0.8115	0.7889	0.7607	0.7455	0.7300	0.7096								
10.0	0.0308	0.0395	0.0519	0.0691	0.1020	0.4791	0.7969	0.8133	0.8143	0.8169	0.8162	0.8196	0.8152	0.8153	0.8145	0.8135	0.8098	0.7904	0.4612	0.1025	0.0689	0.0518	0.0397	0.0305	*	1.3464	1.3957	1.2981	1.2283	1.1783	1.1151	1.0509	0.9934	0.9613	0.9271	0.9020	0.8766	0.8494	0.8274	0.8065	0.7859	0.7661	0.7546	0.7342	0.7177	0.6843	0.6449	0.6096	0.5712	0.5372	0.5118	0.4909	
5.0								0.8121	0.8180	0.8203	0.8180	0.8203	0.8166	0.8157	0.8168	0.8151	0.8125								*								0.9990	0.9575	0.9354	0.9046	0.8869	0.8473	0.8390	0.8133	0.7929	0.7646	0.7513	0.7376	0.7041								
0.0	0.0312	0.0401	0.0524	0.0696	0.1036	0.4930	0.8024	0.8125	0.8187	0.8198	0.8204	0.8220	0.8194	0.8175	0.8175	0.8172	0.8132	0.7944	0.4498	0.1035	0.0698	0.0526	0.0400	0.0309	*	1.3326	1.3835	1.3020	1.2354	1.1853	1.1225	1.0609	1.0099	0.9678	0.9460	0.9158	0.8876	0.8741	0.8509	0.8319	0.8011	0.7775	0.7569	0.7399	0.7227	0.6814	0.6426	0.6166	0.5762	0.5355	0.5033	0.4781	
-5.0								0.8178	0.8150	0.8199	0.8208	0.8251	0.8192	0.8222	0.8161	0.8142	0.8128								*								0.9996	0.9749	0.9476	0.9046	0.8814	0.8627	0.8375	0.8210	0.7933	0.7615	0.7549	0.7282	0.7160								
-10.0	0.0313	0.0400	0.0520	0.0697	0.1041	0.4999	0.8032	0.8186	0.8198	0.8174	0.8208	0.8218	0.8197	0.8202	0.8182	0.8160	0.8093	0.7951	0.4390	0.1011	0.0684	0.0513	0.0394	0.0307	*	1.3346	1.3783	1.3123	1.2541	1.1956	1.1277	1.0607	1.0009	0.9636	0.9515	0.9084	0.8841	0.8658	0.8418	0.8113	0.7946	0.7680	0.7520	0.7323	0.7104	0.6868	0.6362	0.6087	0.5655	0.5262	0.4928	0.4655	
-15.0								0.8142	0.8187	0.8225	0.8219	0.8220	0.8186	0.8215	0.8207	0.8184	0.8139								*								0.9986	0.9774	0.9422	0.9138	0.8824	0.8633	0.8428	0.8215	0.7984	0.7763	0.7561	0.7390	0.7115								
-20.0	0.0306	0.0390	0.0514	0.0679	0.1034	0.5197	0.7955	0.8143	0.8176	0.8175	0.8185	0.8231	0.8175	0.8167	0.8316	0.8277	0.8127	0.7914	0.4324	0.0994	0.0666	0.0501	0.0385	0.0302	*	1.3422	1.3844	1.3189	1.2572	1.1934	1.1286	1.0597	1.0090	0.9737	0.9395	0.9081	0.8893	0.8694	0.8428	0.8197	0.7974	0.7653	0.7611	0.7306	0.7166	0.6751	0.6357	0.5957	0.5554	0.5167	0.4911	0.4637	
-25.0								0.8087	0.8123	0.8174	0.8176	0.8153	0.8138	0.8099	0.8125	0.8086	0.8022								*								1.0039	0.9712	0.9363	0.9080	0.8821	0.8712	0.8453	0.8203	0.7983	0.7711	0.7609	0.7339	0.7147								
-30.0	0.0293	0.0371	0.0483	0.0645	0.0975	0.5251	0.7901	0.8044	0.8086	0.8111	0.8101	0.8142	0.8078	0.8084	0.8065	0.8016	0.8003	0.7793	0.4070	0.0938	0.0630	0.0479	0.0370	0.0290	*	1.3301	1.3892	1.3157	1.2447	1.1819	1.1197	1.0545	0.9927	0.9566	0.9328	0.9164	0.8721	0.8541	0.8369	0.8087	0.7918	0.7591	0.7520	0.7352	0.7056	0.6649	0.6257	0.5903	0.5503	0.5231	0.4933	0.4672	
-40.0	0.0273	0.0347	0.0449	0.0584	0.0886	0.5199	0.7648	0.7741		0.7825		0.7879	0.7863		0.7806		0.7751	0.7577	0.3901	0.0840	0.0571	0.0442	0.0342	0.0269	*	1.2952	1.3087	1.2596	1.1881	1.1446	1.0813	1.0251	0.9699		0.9060		0.8535		0.8096		0.7659		0.7377		0.6899	0.6455	0.6026	0.5757	0.5369	0.5095	0.4778	0.4516	
